"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"19th of Tevet 5773","1/1/2013",,,,"true","","3","Jewish Holidays"
"20th of Tevet 5773","1/2/2013",,,,"true","","3","Jewish Holidays"
"21st of Tevet 5773","1/3/2013",,,,"true","","3","Jewish Holidays"
"22nd of Tevet 5773","1/4/2013",,,,"true","","3","Jewish Holidays"
"23rd of Tevet 5773","1/5/2013",,,,"true","","3","Jewish Holidays"
"24th of Tevet 5773","1/6/2013",,,,"true","","3","Jewish Holidays"
"25th of Tevet 5773","1/7/2013",,,,"true","","3","Jewish Holidays"
"26th of Tevet 5773","1/8/2013",,,,"true","","3","Jewish Holidays"
"27th of Tevet 5773","1/9/2013",,,,"true","","3","Jewish Holidays"
"28th of Tevet 5773","1/10/2013",,,,"true","","3","Jewish Holidays"
"29th of Tevet 5773","1/11/2013",,,,"true","","3","Jewish Holidays"
"1st of Sh'vat 5773","1/12/2013",,,,"true","","3","Jewish Holidays"
"2nd of Sh'vat 5773","1/13/2013",,,,"true","","3","Jewish Holidays"
"3rd of Sh'vat 5773","1/14/2013",,,,"true","","3","Jewish Holidays"
"4th of Sh'vat 5773","1/15/2013",,,,"true","","3","Jewish Holidays"
"5th of Sh'vat 5773","1/16/2013",,,,"true","","3","Jewish Holidays"
"6th of Sh'vat 5773","1/17/2013",,,,"true","","3","Jewish Holidays"
"7th of Sh'vat 5773","1/18/2013",,,,"true","","3","Jewish Holidays"
"8th of Sh'vat 5773","1/19/2013",,,,"true","","3","Jewish Holidays"
"9th of Sh'vat 5773","1/20/2013",,,,"true","","3","Jewish Holidays"
"10th of Sh'vat 5773","1/21/2013",,,,"true","","3","Jewish Holidays"
"11th of Sh'vat 5773","1/22/2013",,,,"true","","3","Jewish Holidays"
"12th of Sh'vat 5773","1/23/2013",,,,"true","","3","Jewish Holidays"
"13th of Sh'vat 5773","1/24/2013",,,,"true","","3","Jewish Holidays"
"14th of Sh'vat 5773","1/25/2013",,,,"true","","3","Jewish Holidays"
"15th of Sh'vat 5773","1/26/2013",,,,"true","","3","Jewish Holidays"
"16th of Sh'vat 5773","1/27/2013",,,,"true","","3","Jewish Holidays"
"17th of Sh'vat 5773","1/28/2013",,,,"true","","3","Jewish Holidays"
"18th of Sh'vat 5773","1/29/2013",,,,"true","","3","Jewish Holidays"
"19th of Sh'vat 5773","1/30/2013",,,,"true","","3","Jewish Holidays"
"20th of Sh'vat 5773","1/31/2013",,,,"true","","3","Jewish Holidays"
"21st of Sh'vat 5773","2/1/2013",,,,"true","","3","Jewish Holidays"
"22nd of Sh'vat 5773","2/2/2013",,,,"true","","3","Jewish Holidays"
"23rd of Sh'vat 5773","2/3/2013",,,,"true","","3","Jewish Holidays"
"24th of Sh'vat 5773","2/4/2013",,,,"true","","3","Jewish Holidays"
"25th of Sh'vat 5773","2/5/2013",,,,"true","","3","Jewish Holidays"
"26th of Sh'vat 5773","2/6/2013",,,,"true","","3","Jewish Holidays"
"27th of Sh'vat 5773","2/7/2013",,,,"true","","3","Jewish Holidays"
"28th of Sh'vat 5773","2/8/2013",,,,"true","","3","Jewish Holidays"
"29th of Sh'vat 5773","2/9/2013",,,,"true","","3","Jewish Holidays"
"30th of Sh'vat 5773","2/10/2013",,,,"true","","3","Jewish Holidays"
"1st of Adar 5773","2/11/2013",,,,"true","","3","Jewish Holidays"
"2nd of Adar 5773","2/12/2013",,,,"true","","3","Jewish Holidays"
"3rd of Adar 5773","2/13/2013",,,,"true","","3","Jewish Holidays"
"4th of Adar 5773","2/14/2013",,,,"true","","3","Jewish Holidays"
"5th of Adar 5773","2/15/2013",,,,"true","","3","Jewish Holidays"
"6th of Adar 5773","2/16/2013",,,,"true","","3","Jewish Holidays"
"7th of Adar 5773","2/17/2013",,,,"true","","3","Jewish Holidays"
"8th of Adar 5773","2/18/2013",,,,"true","","3","Jewish Holidays"
"9th of Adar 5773","2/19/2013",,,,"true","","3","Jewish Holidays"
"10th of Adar 5773","2/20/2013",,,,"true","","3","Jewish Holidays"
"11th of Adar 5773","2/21/2013",,,,"true","","3","Jewish Holidays"
"12th of Adar 5773","2/22/2013",,,,"true","","3","Jewish Holidays"
"13th of Adar 5773","2/23/2013",,,,"true","","3","Jewish Holidays"
"14th of Adar 5773","2/24/2013",,,,"true","","3","Jewish Holidays"
"15th of Adar 5773","2/25/2013",,,,"true","","3","Jewish Holidays"
"16th of Adar 5773","2/26/2013",,,,"true","","3","Jewish Holidays"
"17th of Adar 5773","2/27/2013",,,,"true","","3","Jewish Holidays"
"18th of Adar 5773","2/28/2013",,,,"true","","3","Jewish Holidays"
"19th of Adar 5773","3/1/2013",,,,"true","","3","Jewish Holidays"
"20th of Adar 5773","3/2/2013",,,,"true","","3","Jewish Holidays"
"21st of Adar 5773","3/3/2013",,,,"true","","3","Jewish Holidays"
"22nd of Adar 5773","3/4/2013",,,,"true","","3","Jewish Holidays"
"23rd of Adar 5773","3/5/2013",,,,"true","","3","Jewish Holidays"
"24th of Adar 5773","3/6/2013",,,,"true","","3","Jewish Holidays"
"25th of Adar 5773","3/7/2013",,,,"true","","3","Jewish Holidays"
"26th of Adar 5773","3/8/2013",,,,"true","","3","Jewish Holidays"
"27th of Adar 5773","3/9/2013",,,,"true","","3","Jewish Holidays"
"28th of Adar 5773","3/10/2013",,,,"true","","3","Jewish Holidays"
"29th of Adar 5773","3/11/2013",,,,"true","","3","Jewish Holidays"
"1st of Nisan 5773","3/12/2013",,,,"true","","3","Jewish Holidays"
"2nd of Nisan 5773","3/13/2013",,,,"true","","3","Jewish Holidays"
"3rd of Nisan 5773","3/14/2013",,,,"true","","3","Jewish Holidays"
"4th of Nisan 5773","3/15/2013",,,,"true","","3","Jewish Holidays"
"5th of Nisan 5773","3/16/2013",,,,"true","","3","Jewish Holidays"
"6th of Nisan 5773","3/17/2013",,,,"true","","3","Jewish Holidays"
"7th of Nisan 5773","3/18/2013",,,,"true","","3","Jewish Holidays"
"8th of Nisan 5773","3/19/2013",,,,"true","","3","Jewish Holidays"
"9th of Nisan 5773","3/20/2013",,,,"true","","3","Jewish Holidays"
"10th of Nisan 5773","3/21/2013",,,,"true","","3","Jewish Holidays"
"11th of Nisan 5773","3/22/2013",,,,"true","","3","Jewish Holidays"
"12th of Nisan 5773","3/23/2013",,,,"true","","3","Jewish Holidays"
"13th of Nisan 5773","3/24/2013",,,,"true","","3","Jewish Holidays"
"14th of Nisan 5773","3/25/2013",,,,"true","","3","Jewish Holidays"
"15th of Nisan 5773","3/26/2013",,,,"true","","3","Jewish Holidays"
"16th of Nisan 5773","3/27/2013",,,,"true","","3","Jewish Holidays"
"17th of Nisan 5773","3/28/2013",,,,"true","","3","Jewish Holidays"
"18th of Nisan 5773","3/29/2013",,,,"true","","3","Jewish Holidays"
"19th of Nisan 5773","3/30/2013",,,,"true","","3","Jewish Holidays"
"20th of Nisan 5773","3/31/2013",,,,"true","","3","Jewish Holidays"
"21st of Nisan 5773","4/1/2013",,,,"true","","3","Jewish Holidays"
"22nd of Nisan 5773","4/2/2013",,,,"true","","3","Jewish Holidays"
"23rd of Nisan 5773","4/3/2013",,,,"true","","3","Jewish Holidays"
"24th of Nisan 5773","4/4/2013",,,,"true","","3","Jewish Holidays"
"25th of Nisan 5773","4/5/2013",,,,"true","","3","Jewish Holidays"
"26th of Nisan 5773","4/6/2013",,,,"true","","3","Jewish Holidays"
"27th of Nisan 5773","4/7/2013",,,,"true","","3","Jewish Holidays"
"28th of Nisan 5773","4/8/2013",,,,"true","","3","Jewish Holidays"
"29th of Nisan 5773","4/9/2013",,,,"true","","3","Jewish Holidays"
"30th of Nisan 5773","4/10/2013",,,,"true","","3","Jewish Holidays"
"1st of Iyyar 5773","4/11/2013",,,,"true","","3","Jewish Holidays"
"2nd of Iyyar 5773","4/12/2013",,,,"true","","3","Jewish Holidays"
"3rd of Iyyar 5773","4/13/2013",,,,"true","","3","Jewish Holidays"
"4th of Iyyar 5773","4/14/2013",,,,"true","","3","Jewish Holidays"
"5th of Iyyar 5773","4/15/2013",,,,"true","","3","Jewish Holidays"
"6th of Iyyar 5773","4/16/2013",,,,"true","","3","Jewish Holidays"
"7th of Iyyar 5773","4/17/2013",,,,"true","","3","Jewish Holidays"
"8th of Iyyar 5773","4/18/2013",,,,"true","","3","Jewish Holidays"
"9th of Iyyar 5773","4/19/2013",,,,"true","","3","Jewish Holidays"
"10th of Iyyar 5773","4/20/2013",,,,"true","","3","Jewish Holidays"
"11th of Iyyar 5773","4/21/2013",,,,"true","","3","Jewish Holidays"
"12th of Iyyar 5773","4/22/2013",,,,"true","","3","Jewish Holidays"
"13th of Iyyar 5773","4/23/2013",,,,"true","","3","Jewish Holidays"
"14th of Iyyar 5773","4/24/2013",,,,"true","","3","Jewish Holidays"
"15th of Iyyar 5773","4/25/2013",,,,"true","","3","Jewish Holidays"
"16th of Iyyar 5773","4/26/2013",,,,"true","","3","Jewish Holidays"
"17th of Iyyar 5773","4/27/2013",,,,"true","","3","Jewish Holidays"
"18th of Iyyar 5773","4/28/2013",,,,"true","","3","Jewish Holidays"
"19th of Iyyar 5773","4/29/2013",,,,"true","","3","Jewish Holidays"
"20th of Iyyar 5773","4/30/2013",,,,"true","","3","Jewish Holidays"
"21st of Iyyar 5773","5/1/2013",,,,"true","","3","Jewish Holidays"
"22nd of Iyyar 5773","5/2/2013",,,,"true","","3","Jewish Holidays"
"23rd of Iyyar 5773","5/3/2013",,,,"true","","3","Jewish Holidays"
"24th of Iyyar 5773","5/4/2013",,,,"true","","3","Jewish Holidays"
"25th of Iyyar 5773","5/5/2013",,,,"true","","3","Jewish Holidays"
"26th of Iyyar 5773","5/6/2013",,,,"true","","3","Jewish Holidays"
"27th of Iyyar 5773","5/7/2013",,,,"true","","3","Jewish Holidays"
"28th of Iyyar 5773","5/8/2013",,,,"true","","3","Jewish Holidays"
"29th of Iyyar 5773","5/9/2013",,,,"true","","3","Jewish Holidays"
"1st of Sivan 5773","5/10/2013",,,,"true","","3","Jewish Holidays"
"2nd of Sivan 5773","5/11/2013",,,,"true","","3","Jewish Holidays"
"3rd of Sivan 5773","5/12/2013",,,,"true","","3","Jewish Holidays"
"4th of Sivan 5773","5/13/2013",,,,"true","","3","Jewish Holidays"
"5th of Sivan 5773","5/14/2013",,,,"true","","3","Jewish Holidays"
"6th of Sivan 5773","5/15/2013",,,,"true","","3","Jewish Holidays"
"7th of Sivan 5773","5/16/2013",,,,"true","","3","Jewish Holidays"
"8th of Sivan 5773","5/17/2013",,,,"true","","3","Jewish Holidays"
"9th of Sivan 5773","5/18/2013",,,,"true","","3","Jewish Holidays"
"10th of Sivan 5773","5/19/2013",,,,"true","","3","Jewish Holidays"
"11th of Sivan 5773","5/20/2013",,,,"true","","3","Jewish Holidays"
"12th of Sivan 5773","5/21/2013",,,,"true","","3","Jewish Holidays"
"13th of Sivan 5773","5/22/2013",,,,"true","","3","Jewish Holidays"
"14th of Sivan 5773","5/23/2013",,,,"true","","3","Jewish Holidays"
"15th of Sivan 5773","5/24/2013",,,,"true","","3","Jewish Holidays"
"16th of Sivan 5773","5/25/2013",,,,"true","","3","Jewish Holidays"
"17th of Sivan 5773","5/26/2013",,,,"true","","3","Jewish Holidays"
"18th of Sivan 5773","5/27/2013",,,,"true","","3","Jewish Holidays"
"19th of Sivan 5773","5/28/2013",,,,"true","","3","Jewish Holidays"
"20th of Sivan 5773","5/29/2013",,,,"true","","3","Jewish Holidays"
"21st of Sivan 5773","5/30/2013",,,,"true","","3","Jewish Holidays"
"22nd of Sivan 5773","5/31/2013",,,,"true","","3","Jewish Holidays"
"23rd of Sivan 5773","6/1/2013",,,,"true","","3","Jewish Holidays"
"24th of Sivan 5773","6/2/2013",,,,"true","","3","Jewish Holidays"
"25th of Sivan 5773","6/3/2013",,,,"true","","3","Jewish Holidays"
"26th of Sivan 5773","6/4/2013",,,,"true","","3","Jewish Holidays"
"27th of Sivan 5773","6/5/2013",,,,"true","","3","Jewish Holidays"
"28th of Sivan 5773","6/6/2013",,,,"true","","3","Jewish Holidays"
"29th of Sivan 5773","6/7/2013",,,,"true","","3","Jewish Holidays"
"30th of Sivan 5773","6/8/2013",,,,"true","","3","Jewish Holidays"
"1st of Tamuz 5773","6/9/2013",,,,"true","","3","Jewish Holidays"
"2nd of Tamuz 5773","6/10/2013",,,,"true","","3","Jewish Holidays"
"3rd of Tamuz 5773","6/11/2013",,,,"true","","3","Jewish Holidays"
"4th of Tamuz 5773","6/12/2013",,,,"true","","3","Jewish Holidays"
"5th of Tamuz 5773","6/13/2013",,,,"true","","3","Jewish Holidays"
"6th of Tamuz 5773","6/14/2013",,,,"true","","3","Jewish Holidays"
"7th of Tamuz 5773","6/15/2013",,,,"true","","3","Jewish Holidays"
"8th of Tamuz 5773","6/16/2013",,,,"true","","3","Jewish Holidays"
"9th of Tamuz 5773","6/17/2013",,,,"true","","3","Jewish Holidays"
"10th of Tamuz 5773","6/18/2013",,,,"true","","3","Jewish Holidays"
"11th of Tamuz 5773","6/19/2013",,,,"true","","3","Jewish Holidays"
"12th of Tamuz 5773","6/20/2013",,,,"true","","3","Jewish Holidays"
"13th of Tamuz 5773","6/21/2013",,,,"true","","3","Jewish Holidays"
