"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Rosh Chodesh Sh'vat","1/12/2013",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/26/2013",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/9/2013",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/10/2013",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/11/2013",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Ta'anit Esther","2/21/2013",,,,"true","Fast of Esther","3","Jewish Holidays"
"Shabbat Zachor","2/23/2013",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Erev Purim","2/23/2013",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","2/24/2013",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/25/2013",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/2/2013",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/9/2013",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/12/2013",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","3/23/2013",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","3/25/2013",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","3/25/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/26/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","3/27/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","3/28/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/29/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","3/30/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","3/31/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/1/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/2/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/8/2013",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/10/2013",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/11/2013",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/15/2013",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/16/2013",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","4/24/2013",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","4/28/2013",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/8/2013",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/10/2013",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
