"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Tu BiShvat","1/26/2013",,,,"true","New Year for Trees","3","Jewish Holidays"
"Erev Purim","2/23/2013",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","2/24/2013",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/25/2013",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","3/25/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/26/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","3/27/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","3/28/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/29/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","3/30/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","3/31/2013",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/1/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/2/2013",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/8/2013",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","4/15/2013",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/16/2013",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","4/24/2013",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","4/28/2013",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/8/2013",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","5/14/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/15/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/16/2013",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/15/2013",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/16/2013",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/4/2013",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5774","9/5/2013",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/6/2013",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/13/2013",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/14/2013",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/18/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/19/2013",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/20/2013",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/21/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/22/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/23/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/24/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/25/2013",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","9/26/2013",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","9/27/2013",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","11/27/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","11/28/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","11/29/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","11/30/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/1/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/2/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/3/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/4/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/5/2013",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","1/16/2014",,,,"true","New Year for Trees","3","Jewish Holidays"
"Purim Katan","2/14/2014",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Erev Purim","3/15/2014",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/16/2014",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/17/2014",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","4/14/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/15/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/16/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/17/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/18/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/19/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/20/2014",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/21/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/22/2014",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/28/2014",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","5/5/2014",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/6/2014",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/14/2014",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/18/2014",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/28/2014",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","6/3/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/4/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/5/2014",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","8/4/2014",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/5/2014",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/24/2014",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5775","9/25/2014",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/26/2014",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","10/3/2014",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/4/2014",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/8/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/9/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/10/2014",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/11/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/12/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/13/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/14/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/15/2014",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/16/2014",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/17/2014",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/16/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/17/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/18/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/19/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/20/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/21/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/22/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/23/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/24/2014",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Tu BiShvat","2/4/2015",,,,"true","New Year for Trees","3","Jewish Holidays"
"Erev Purim","3/4/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/5/2015",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/6/2015",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Erev Pesach","4/3/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/4/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/5/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/6/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/7/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/8/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/9/2015",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/10/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/11/2015",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/16/2015",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Yom HaZikaron","4/22/2015",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/23/2015",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/3/2015",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","5/7/2015",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/17/2015",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Erev Shavuot","5/23/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/24/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/25/2015",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/25/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/26/2015",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/13/2015",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5776","9/14/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/15/2015",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/22/2015",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/23/2015",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/27/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/28/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/29/2015",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/30/2015",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
